user_id,age,occupation,gender
209,33,academic/educator,M
210,30,other or not specified,M
211,28,scientist,M
213,38,scientist,F
216,25,college/grad student,M
217,32,college/grad student,F
220,31,sales/marketing,M
222,32,college/grad student,F
223,31,self-employed,M
225,34,executive/managerial,M
226,25,writer,M
231,32,executive/managerial,M
232,21,self-employed,M
234,28,executive/managerial,M
237,34,scientist,M
243,33,executive/managerial,M
244,28,other or not specified,M
246,29,scientist,M
247,28,sales/marketing,M
249,29,executive/managerial,M
251,30,artist,M
252,27,writer,M
253,31,executive/managerial,M
255,29,homemaker,F
257,26,college/grad student,M
258,34,artist,M
260,27,other or not specified,M
263,34,college/grad student,M
266,33,homemaker,F
267,31,sales/marketing,M
269,27,college/grad student,M
271,29,sales/marketing,M
272,25,technician/engineer,M
276,65,academic/educator,F
280,29,homemaker,F
281,30,executive/managerial,M
283,28,sales/marketing,M
284,27,executive/managerial,M
288,29,college/grad student,M
289,28,college/grad student,F
292,29,executive/managerial,M
295,27,sales/marketing,M
296,34,executive/managerial,M
298,34,sales/marketing,M
300,29,college/grad student,M
301,32,executive/managerial,M
304,26,executive/managerial,M
306,26,sales/marketing,M
308,25,executive/managerial,M
311,32,sales/marketing,M
312,23,scientist,M
313,21,college/grad student,M
315,18,homemaker,M
318,26,sales/marketing,M
320,34,academic/educator,M
322,26,academic/educator,F
323,50,executive/managerial,M
328,31,other or not specified,M
333,25,college/grad student,M
334,25,homemaker,M
335,30,other or not specified,M
336,31,college/grad student,M
337,22,sales/marketing,M
339,27,college/grad student,M
340,34,other or not specified,M
341,33,other or not specified,M
342,34,self-employed,M
344,21,sales/marketing,M
346,66,executive/managerial,M
347,30,clerical/admin,M
349,25,other or not specified,M
350,65,clerical/admin,F
352,27,executive/managerial,M
353,31,college/grad student,M
355,25,college/grad student,M
358,34,college/grad student,M
359,36,sales/marketing,M
360,29,scientist,M
362,32,executive/managerial,M
364,30,college/grad student,M
365,29,executive/managerial,M
367,32,sales/marketing,M
368,26,technician/engineer,M
369,32,scientist,M
370,27,sales/marketing,M
372,32,self-employed,M
373,27,college/grad student,F
375,31,sales/marketing,F
379,27,technician/engineer,M
380,29,programmer,M
382,33,other or not specified,M
383,28,sales/marketing,M
384,31,self-employed,M
385,26,executive/managerial,M
386,78,self-employed,F
388,34,sales/marketing,M
389,33,scientist,M
390,26,executive/managerial,M
391,34,college/grad student,M
392,34,other or not specified,M
393,25,college/grad student,M
396,34,executive/managerial,M
398,30,executive/managerial,M
399,25,academic/educator,M
400,25,college/grad student,F
401,26,self-employed,M
403,32,college/grad student,M
404,19,other or not specified,M
406,29,programmer,M
408,44,academic/educator,F
409,22,K-12 student,M
410,18,college/grad student,F
413,30,clerical/admin,M
415,27,sales/marketing,M
416,31,executive/managerial,F
417,34,self-employed,F
418,28,executive/managerial,M
420,29,other or not specified,M
427,20,sales/marketing,M
428,25,other or not specified,M
429,25,academic/educator,F
430,21,sales/marketing,M
431,33,scientist,M
432,28,college/grad student,M
433,34,executive/managerial,M
434,29,other or not specified,M
436,18,K-12 student,M
440,27,sales/marketing,M
442,32,other or not specified,M
443,74,retired,M
447,28,college/grad student,M
449,32,scientist,M
455,29,scientist,M
456,33,executive/managerial,M
457,30,sales/marketing,M
459,34,sales/marketing,M
461,22,customer service,M
463,33,executive/managerial,M
464,38,executive/managerial,M
466,27,K-12 student,F
468,32,college/grad student,M
469,27,sales/marketing,M
471,22,self-employed,M
472,33,college/grad student,F
474,18,scientist,M
479,26,self-employed,F
480,31,executive/managerial,M
481,31,executive/managerial,M
486,18,self-employed,F
492,31,sales/marketing,M
493,31,other or not specified,F
494,28,academic/educator,M
496,26,homemaker,M
499,25,executive/managerial,M
500,22,college/grad student,M
501,28,technician/engineer,M
503,25,self-employed,M
504,34,sales/marketing,M
506,25,academic/educator,F
507,35,academic/educator,M
508,28,sales/marketing,M
509,30,self-employed,F
511,21,other or not specified,M
515,30,other or not specified,M
517,34,college/grad student,F
518,28,artist,F
521,28,scientist,M
522,33,other or not specified,M
523,32,college/grad student,M
524,29,college/grad student,M
525,28,academic/educator,F
526,32,college/grad student,M
527,31,executive/managerial,M
528,29,other or not specified,M
532,9,K-12 student,M
533,34,college/grad student,M
534,18,K-12 student,M
535,25,homemaker,M
538,33,other or not specified,M
539,30,scientist,M
540,28,scientist,M
544,25,other or not specified,M
545,32,executive/managerial,M
550,22,programmer,M
553,15,sales/marketing,M
554,27,sales/marketing,M
555,25,tradesman/craftsman,M
558,27,executive/managerial,M
559,88,retired,F
560,29,executive/managerial,M
564,21,scientist,M
565,39,lawyer,M
566,27,tradesman/craftsman,M
567,27,executive/managerial,M
568,32,college/grad student,M
569,32,college/grad student,M
570,31,self-employed,M
573,31,lawyer,M
574,25,self-employed,M
578,24,college/grad student,M
579,26,scientist,M
580,33,executive/managerial,M
581,32,scientist,M
582,28,college/grad student,M
583,32,college/grad student,F
585,9,K-12 student,F
586,34,sales/marketing,M
587,38,artist,M
588,33,scientist,M
589,34,retired,M
596,28,college/grad student,M
597,34,college/grad student,M
598,38,artist,M
599,31,other or not specified,M
600,38,scientist,M
601,27,homemaker,M
603,30,scientist,F
605,33,academic/educator,F
606,27,executive/managerial,M
607,31,college/grad student,M
613,29,college/grad student,M
614,45,clerical/admin,M
617,34,academic/educator,M
618,27,college/grad student,M
619,26,homemaker,F
622,28,academic/educator,M
625,52,academic/educator,M
626,25,other or not specified,M
628,29,customer service,M
629,34,other or not specified,M
631,27,sales/marketing,M
632,31,sales/marketing,F
634,30,sales/marketing,M
635,34,artist,M
636,28,scientist,M
641,26,college/grad student,M
645,32,college/grad student,M
646,27,sales/marketing,F
647,27,other or not specified,F
648,28,clerical/admin,M
649,32,self-employed,M
650,33,sales/marketing,M
651,28,college/grad student,M
653,62,executive/managerial,M
654,18,K-12 student,M
655,33,executive/managerial,M
657,34,executive/managerial,M
659,30,scientist,M
660,33,executive/managerial,M
663,28,sales/marketing,M
666,32,other or not specified,M
669,73,retired,F
671,74,retired,F
675,33,self-employed,M
677,28,executive/managerial,M
680,52,technician/engineer,M
681,30,college/grad student,M
682,29,executive/managerial,M
683,34,executive/managerial,M
688,25,homemaker,M
689,26,sales/marketing,M
690,31,college/grad student,M
691,61,other or not specified,M
692,18,K-12 student,M
693,33,other or not specified,M
696,71,academic/educator,M
698,25,other or not specified,M
699,33,self-employed,M
700,24,college/grad student,M
702,24,clerical/admin,M
703,30,executive/managerial,M
704,25,executive/managerial,M
705,34,executive/managerial,M
708,25,academic/educator,M
709,28,sales/marketing,M
711,22,sales/marketing,M
712,28,executive/managerial,M
715,34,college/grad student,M
716,30,college/grad student,M
718,27,tradesman/craftsman,M
719,33,academic/educator,M
720,67,executive/managerial,M
721,33,self-employed,M
722,31,executive/managerial,M
724,29,sales/marketing,M
727,25,K-12 student,M
728,28,college/grad student,M
730,29,executive/managerial,M
731,25,executive/managerial,M
733,21,K-12 student,M
739,28,sales/marketing,M
740,26,scientist,M
741,52,sales/marketing,M
743,30,other or not specified,F
745,25,executive/managerial,M
746,34,college/grad student,M
747,27,college/grad student,M
748,11,K-12 student,M
749,31,executive/managerial,M
751,64,executive/managerial,M
754,25,self-employed,M
758,19,executive/managerial,M
760,26,executive/managerial,M
761,29,sales/marketing,M
762,30,executive/managerial,M
763,29,scientist,M
764,32,executive/managerial,M
766,32,scientist,M
769,18,K-12 student,M
771,32,college/grad student,M
772,27,self-employed,M
773,30,executive/managerial,M
775,40,writer,M
777,26,sales/marketing,M
778,30,sales/marketing,F
779,33,scientist,M
781,26,college/grad student,M
782,30,scientist,M
784,33,scientist,M
785,31,college/grad student,F
787,43,sales/marketing,M
788,26,technician/engineer,M
793,38,scientist,F
795,28,college/grad student,M
796,36,self-employed,M
797,27,artist,F
798,27,self-employed,M
800,23,programmer,M
802,25,sales/marketing,M
803,27,other or not specified,M
804,34,homemaker,M
806,28,executive/managerial,M
809,27,scientist,M
810,34,self-employed,F
811,26,college/grad student,M
813,25,executive/managerial,M
814,25,college/grad student,M
815,34,college/grad student,M
816,34,executive/managerial,M
822,32,scientist,M
824,33,unemployed,M
828,23,scientist,M
829,32,self-employed,M
830,34,other or not specified,M
832,38,executive/managerial,M
833,30,college/grad student,M
834,25,executive/managerial,M
835,27,other or not specified,M
838,26,scientist,M
840,29,self-employed,M
841,34,college/grad student,M
842,32,college/grad student,M
845,25,college/grad student,M
846,31,sales/marketing,M
848,29,college/grad student,M
850,33,college/grad student,M
851,31,college/grad student,M
853,29,self-employed,M
855,75,retired,M
856,23,sales/marketing,M
858,32,retired,F
859,27,executive/managerial,M
860,32,sales/marketing,M
861,21,customer service,M
863,29,homemaker,M
867,30,other or not specified,M
871,29,executive/managerial,M
873,32,sales/marketing,M
875,26,college/grad student,M
877,29,other or not specified,M
878,34,scientist,F
881,20,technician/engineer,M
885,13,K-12 student,M
887,25,scientist,M
888,39,academic/educator,M
889,22,scientist,M
890,33,scientist,M
892,29,sales/marketing,M
893,29,artist,F
895,38,retired,F
896,31,self-employed,M
898,36,self-employed,F
899,27,college/grad student,M
902,21,K-12 student,M
903,40,writer,M
905,34,college/grad student,M
906,30,college/grad student,M
907,31,sales/marketing,M
908,34,college/grad student,M
909,27,executive/managerial,M
911,25,executive/managerial,M
912,25,college/grad student,M
913,26,college/grad student,M
914,37,academic/educator,M
916,24,sales/marketing,M
917,25,other or not specified,F
919,27,executive/managerial,M
920,27,self-employed,M
922,25,college/grad student,M
925,27,sales/marketing,M
927,34,college/grad student,M
928,25,executive/managerial,M
929,26,sales/marketing,M
930,29,homemaker,M
933,18,K-12 student,M
935,25,self-employed,M
937,25,college/grad student,M
938,26,academic/educator,F
940,39,self-employed,F
941,29,sales/marketing,M
942,26,executive/managerial,M
944,37,customer service,M
945,30,college/grad student,M
947,30,sales/marketing,M
951,23,sales/marketing,M
952,31,doctor/health care,M
955,33,sales/marketing,M
957,27,other or not specified,F
958,29,executive/managerial,M
961,25,college/grad student,M
962,28,scientist,M
966,31,executive/managerial,M
969,36,sales/marketing,M
973,18,K-12 student,F
975,32,self-employed,M
977,31,college/grad student,M
979,31,college/grad student,M
980,32,executive/managerial,M
983,27,college/grad student,M
985,34,college/grad student,F
987,25,sales/marketing,M
988,28,executive/managerial,M
989,21,college/grad student,M
990,27,scientist,M
991,31,other or not specified,M
993,30,academic/educator,M
994,28,sales/marketing,F
996,33,executive/managerial,M
999,26,college/grad student,M
1001,28,artist,M
1003,25,college/grad student,M
1005,31,executive/managerial,M
1008,30,tradesman/craftsman,M
1009,44,programmer,M
1011,26,sales/marketing,F
1015,21,sales/marketing,M
1016,29,scientist,F
1017,28,self-employed,M
1020,33,scientist,M
1021,26,executive/managerial,M
1023,34,scientist,M
1024,21,homemaker,M
1027,38,other or not specified,F
1028,24,college/grad student,M
1029,34,executive/managerial,M
1031,18,K-12 student,M
1033,31,other or not specified,F
1036,33,college/grad student,M
1040,31,executive/managerial,M
1041,34,executive/managerial,M
1045,30,other or not specified,M
1046,26,academic/educator,M
1048,27,sales/marketing,M
1049,32,scientist,M
1051,28,college/grad student,M
1055,29,college/grad student,M
1056,25,college/grad student,F
1061,34,self-employed,M
1062,33,other or not specified,M
1063,26,scientist,M
1064,33,college/grad student,M
1065,22,college/grad student,M
1068,22,sales/marketing,M
1070,28,executive/managerial,M
1071,25,college/grad student,M
1072,25,executive/managerial,F
1073,32,sales/marketing,M
1076,28,college/grad student,M
1077,28,other or not specified,M
1078,28,sales/marketing,M
1079,32,college/grad student,M
1082,27,executive/managerial,M
1083,34,other or not specified,M
1085,18,sales/marketing,M
1086,31,executive/managerial,M
1087,27,college/grad student,M
1089,33,college/grad student,M
1090,32,executive/managerial,M
1092,32,technician/engineer,M
1095,32,sales/marketing,F
1096,30,college/grad student,M
1099,34,college/grad student,F
1100,28,college/grad student,M
1102,34,sales/marketing,M
1103,28,college/grad student,F
1105,28,college/grad student,M
1108,23,scientist,M
1109,28,executive/managerial,M
1110,26,programmer,M
1114,26,college/grad student,M
1118,55,scientist,M
1119,34,scientist,M
1123,19,sales/marketing,F
1127,29,other or not specified,F
1128,31,college/grad student,F
1129,25,executive/managerial,M
1132,30,other or not specified,F
1134,27,programmer,M
1136,26,executive/managerial,M
1137,29,academic/educator,M
1139,30,college/grad student,M
1142,33,executive/managerial,M
1143,26,college/grad student,M
1144,27,college/grad student,M
1145,34,writer,M
1147,29,scientist,M
1149,34,college/grad student,M
1151,32,other or not specified,M
1152,27,other or not specified,M
1157,26,programmer,F
1158,29,college/grad student,M
1159,32,sales/marketing,M
1160,33,college/grad student,M
1161,30,college/grad student,M
1163,28,artist,M
1164,33,scientist,M
1166,30,sales/marketing,M
1167,33,college/grad student,M
1168,33,executive/managerial,M
1169,21,scientist,M
1170,26,college/grad student,M
1172,31,college/grad student,M
1173,27,self-employed,F
1174,28,scientist,M
1175,34,sales/marketing,F
1177,29,executive/managerial,M
1178,33,executive/managerial,M
1179,29,scientist,M
1182,81,retired,M
1188,27,executive/managerial,F
1190,34,sales/marketing,M
1191,42,homemaker,F
1195,33,scientist,M
1196,34,doctor/health care,M
1198,18,sales/marketing,M
1200,25,sales/marketing,M
1202,34,college/grad student,M
1205,33,college/grad student,M
1206,33,college/grad student,M
1207,19,sales/marketing,M
1209,33,sales/marketing,M
1210,8,K-12 student,M
1211,33,self-employed,M
1212,28,executive/managerial,M
1213,28,scientist,M
1214,28,college/grad student,M
1215,36,other or not specified,M
1220,30,college/grad student,M
1221,33,executive/managerial,F
1222,26,artist,M
1223,18,scientist,M
1224,27,college/grad student,M
1226,26,self-employed,M
1227,31,homemaker,M
1228,34,self-employed,M
1231,35,other or not specified,F
1232,34,sales/marketing,M
1233,34,executive/managerial,M
1235,25,executive/managerial,M
1236,26,college/grad student,M
1237,27,executive/managerial,M
1238,55,homemaker,M
1239,25,college/grad student,M
1240,29,retired,F
1241,33,college/grad student,M
1243,32,college/grad student,M
1246,9,scientist,F
1247,30,college/grad student,M
1252,23,sales/marketing,M
1253,25,technician/engineer,M
1254,34,executive/managerial,M
1259,34,college/grad student,M
1260,33,college/grad student,M
1263,29,college/grad student,M
1264,26,college/grad student,M
1265,18,homemaker,M
1269,32,academic/educator,F
1271,34,other or not specified,M
1273,32,other or not specified,M
1275,33,other or not specified,M
1279,29,scientist,M
1280,31,scientist,M
1281,29,college/grad student,M
1287,34,executive/managerial,M
1290,32,K-12 student,M
1295,30,scientist,M
1298,31,homemaker,M
1301,25,sales/marketing,M
1303,27,academic/educator,F
1305,27,sales/marketing,M
1306,27,college/grad student,M
1307,26,self-employed,F
1310,18,K-12 student,M
1312,26,sales/marketing,M
1313,28,college/grad student,M
1314,26,college/grad student,F
1315,25,college/grad student,M
1316,26,scientist,M
1319,32,executive/managerial,M
1320,33,executive/managerial,M
1322,19,K-12 student,M
1324,32,technician/engineer,M
1326,32,self-employed,F
1327,25,K-12 student,M
1329,26,college/grad student,M
1330,33,scientist,M
1331,25,scientist,F
1335,31,college/grad student,M
1337,31,executive/managerial,M
1341,18,other or not specified,M
1342,29,programmer,M
1345,27,executive/managerial,M
1346,29,executive/managerial,M
1348,31,college/grad student,M
1350,30,sales/marketing,F
1351,32,academic/educator,M
1352,27,executive/managerial,M
1353,28,college/grad student,M
1354,30,college/grad student,M
1357,29,executive/managerial,M
1358,27,other or not specified,M
1359,30,college/grad student,M
1360,29,scientist,M
1362,28,academic/educator,F
1363,29,self-employed,M
1364,31,sales/marketing,M
1366,28,college/grad student,M
1369,29,academic/educator,M
1373,26,college/grad student,M
1375,27,homemaker,M
1376,32,sales/marketing,M
1377,28,doctor/health care,M
1380,29,college/grad student,M
1382,26,scientist,M
1386,33,sales/marketing,F
1387,25,sales/marketing,M
1388,27,executive/managerial,F
1389,25,college/grad student,M
1391,32,executive/managerial,M
1395,27,self-employed,F
1398,30,college/grad student,M
1399,32,executive/managerial,M
1401,29,homemaker,F
1403,27,scientist,M
1404,25,other or not specified,M
1405,34,college/grad student,M
1406,27,scientist,M
1407,32,college/grad student,M
1408,32,executive/managerial,F
1409,28,clerical/admin,M
1410,28,clerical/admin,M
1411,28,clerical/admin,M
1412,21,self-employed,M
1413,32,college/grad student,F
1416,27,college/grad student,M
1419,29,sales/marketing,M
1420,34,self-employed,M
1422,28,executive/managerial,M
1423,27,homemaker,M
1425,33,college/grad student,M
1426,34,self-employed,M
1430,34,scientist,M
1431,30,college/grad student,F
1432,67,retired,F
1433,29,sales/marketing,M
1434,29,executive/managerial,M
1435,26,sales/marketing,M
1436,33,sales/marketing,M
1437,34,self-employed,M
1439,25,academic/educator,M
1440,34,college/grad student,M
1441,26,college/grad student,M
1442,26,executive/managerial,M
1443,28,executive/managerial,F
1446,29,sales/marketing,M
1449,33,scientist,M
1452,28,college/grad student,F
1453,27,sales/marketing,M
1454,34,college/grad student,M
1455,10,K-12 student,M
1458,34,sales/marketing,M
1461,32,other or not specified,M
1462,31,college/grad student,M
1467,28,college/grad student,M
1468,25,unemployed,M
1469,28,academic/educator,F
1470,31,sales/marketing,M
1471,33,scientist,F
1472,29,college/grad student,M
1473,25,academic/educator,M
1475,31,other or not specified,F
1476,25,executive/managerial,M
1477,25,college/grad student,F
1478,25,scientist,F
1479,25,college/grad student,M
1482,26,executive/managerial,M
1484,29,college/grad student,M
1486,33,scientist,M
1493,34,college/grad student,M
1494,34,sales/marketing,M
1495,34,college/grad student,M
1497,29,doctor/health care,M
1499,25,college/grad student,M
1500,25,college/grad student,M
1501,25,executive/managerial,F
1507,33,clerical/admin,M
1508,32,scientist,M
1510,33,self-employed,M
1511,34,executive/managerial,M
1512,25,executive/managerial,M
1516,39,sales/marketing,M
1517,8,college/grad student,F
1518,19,sales/marketing,M
1522,40,academic/educator,F
1524,31,self-employed,F
1525,24,sales/marketing,M
1526,26,scientist,M
1529,35,self-employed,F
1530,33,sales/marketing,F
1532,30,college/grad student,F
1533,30,college/grad student,M
1534,32,college/grad student,M
1535,34,retired,M
1536,26,executive/managerial,M
1537,18,sales/marketing,M
1540,34,college/grad student,M
1542,28,college/grad student,M
1543,34,college/grad student,M
1544,34,executive/managerial,M
1548,28,sales/marketing,F
1549,26,college/grad student,M
1551,32,other or not specified,M
1552,30,scientist,M
1553,27,other or not specified,F
1554,21,sales/marketing,M
1555,32,sales/marketing,M
1556,30,college/grad student,M
1557,28,executive/managerial,M
1559,18,K-12 student,M
1563,33,executive/managerial,F
1564,31,executive/managerial,M
1568,30,sales/marketing,M
1569,32,college/grad student,M
1573,21,artist,M
1575,25,executive/managerial,M
1576,23,college/grad student,M
1577,31,scientist,F
1578,30,college/grad student,M
1579,28,executive/managerial,M
1580,26,college/grad student,F
1582,31,college/grad student,M
1586,31,executive/managerial,M
1587,25,sales/marketing,M
1595,28,executive/managerial,M
1596,29,other or not specified,M
1600,31,sales/marketing,F
1601,29,homemaker,F
1603,31,college/grad student,M
1604,32,sales/marketing,M
1606,30,executive/managerial,M
1608,25,sales/marketing,M
1610,25,scientist,F
1611,43,academic/educator,M
1612,25,scientist,M
1613,34,academic/educator,M
1615,33,scientist,M
1617,30,college/grad student,M
1618,25,executive/managerial,M
1620,21,sales/marketing,M
1621,33,homemaker,M
1623,25,college/grad student,M
1626,31,sales/marketing,M
1628,32,scientist,M
1630,25,academic/educator,M
1632,28,college/grad student,M
1633,34,executive/managerial,F
1634,34,college/grad student,M
1637,29,college/grad student,M
1638,25,self-employed,M
1639,30,technician/engineer,M
1640,34,scientist,M
1642,25,executive/managerial,M
1643,24,sales/marketing,M
1644,28,sales/marketing,M
1645,29,scientist,F
1650,27,self-employed,M
1654,30,college/grad student,M
1655,30,college/grad student,F
1660,34,self-employed,M
1662,30,K-12 student,M
1664,26,executive/managerial,F
1665,29,self-employed,M
1669,18,K-12 student,M
1671,29,executive/managerial,M
1674,41,academic/educator,F
1675,27,college/grad student,M
1677,34,programmer,M
1678,31,self-employed,M
1681,25,executive/managerial,M
1684,28,scientist,M
1686,18,K-12 student,M
1688,15,homemaker,M
1689,31,sales/marketing,F
1690,33,college/grad student,F
1692,31,scientist,M
1696,36,executive/managerial,M
1697,35,technician/engineer,M
1699,34,college/grad student,M
1702,34,executive/managerial,M
1703,30,homemaker,F
1705,31,sales/marketing,M
1706,26,sales/marketing,M
1707,18,sales/marketing,M
1709,25,sales/marketing,M
1710,35,academic/educator,F
1711,30,scientist,M
1712,18,technician/engineer,M
1717,25,college/grad student,M
1718,32,executive/managerial,M
1721,12,K-12 student,M
1723,34,college/grad student,M
1724,33,executive/managerial,M
1725,26,executive/managerial,M
1726,27,sales/marketing,M
1728,25,college/grad student,M
1729,26,clerical/admin,M
1731,31,retired,M
1735,33,self-employed,M
1738,33,self-employed,M
1739,27,college/grad student,F
1740,27,executive/managerial,M
1742,30,college/grad student,F
1744,31,college/grad student,F
1746,30,homemaker,M
1747,18,K-12 student,M
1748,26,sales/marketing,M
1750,28,sales/marketing,M
1751,27,homemaker,M
1752,29,executive/managerial,M
1753,31,college/grad student,M
1754,34,executive/managerial,M
1755,40,sales/marketing,M
1756,28,self-employed,M
1757,28,scientist,M
1758,18,sales/marketing,M
1760,34,academic/educator,M
1761,32,artist,M
1766,31,other or not specified,F
1767,31,self-employed,M
1769,43,executive/managerial,M
1770,32,college/grad student,F
1771,26,sales/marketing,F
1772,31,other or not specified,M
1774,27,scientist,M
1776,30,self-employed,M
1779,19,self-employed,M
1780,33,scientist,M
1782,32,college/grad student,M
1783,29,executive/managerial,M
1786,28,scientist,M
1788,29,programmer,M
1789,27,sales/marketing,M
1790,32,college/grad student,M
1791,34,college/grad student,M
1792,30,executive/managerial,M
1793,30,other or not specified,F
1795,48,technician/engineer,M
1800,33,college/grad student,M
1803,27,K-12 student,F
1804,34,executive/managerial,M
1807,31,executive/managerial,M
1808,30,scientist,M
1809,25,college/grad student,M
1812,25,homemaker,M
1813,28,sales/marketing,M
1814,31,academic/educator,F
1815,26,sales/marketing,M
1816,26,executive/managerial,M
1817,27,scientist,M
1818,33,executive/managerial,M
1823,27,executive/managerial,M
1826,30,college/grad student,F
1827,34,academic/educator,F
1828,18,scientist,M
1831,30,homemaker,M
1833,32,other or not specified,M
1835,31,sales/marketing,M
1840,34,scientist,M
1844,27,artist,M
1848,18,scientist,M
1850,26,executive/managerial,M
1852,26,executive/managerial,M
1855,19,sales/marketing,M
1856,30,programmer,M
1857,31,technician/engineer,M
1859,79,retired,F
1860,27,college/grad student,M
1861,25,scientist,M
1863,43,technician/engineer,M
1867,30,college/grad student,M
1868,28,homemaker,F
1871,25,other or not specified,M
1872,27,college/grad student,M
1874,34,self-employed,M
1875,30,executive/managerial,M
1876,28,sales/marketing,M
1877,32,homemaker,M
1878,35,executive/managerial,F
1879,32,college/grad student,M
1880,25,college/grad student,M
1881,27,college/grad student,M
1887,26,sales/marketing,M
1888,26,college/grad student,M
1890,27,sales/marketing,M
1891,33,college/grad student,M
1892,30,sales/marketing,M
1893,25,executive/managerial,M
1894,26,homemaker,F
1895,28,college/grad student,M
1898,32,executive/managerial,M
1899,55,other or not specified,F
1900,28,other or not specified,M
1901,27,executive/managerial,M
1903,32,self-employed,M
1904,26,scientist,M
1907,59,retired,F
1909,28,academic/educator,M
1911,26,college/grad student,M
1912,25,technician/engineer,M
1913,32,technician/engineer,M
1914,30,academic/educator,F
1915,32,other or not specified,M
1919,29,homemaker,M
1920,31,self-employed,M
1921,41,executive/managerial,M
1922,29,self-employed,M
1923,30,executive/managerial,F
1924,33,college/grad student,M
1925,30,executive/managerial,M
1926,31,other or not specified,M
1928,28,college/grad student,M
1930,28,sales/marketing,M
1935,30,scientist,M
1937,88,other or not specified,F
1939,26,college/grad student,M
1940,31,sales/marketing,M
1942,31,artist,M
1943,27,executive/managerial,F
1945,25,executive/managerial,F
1947,29,college/grad student,M
1948,30,academic/educator,M
1949,26,college/grad student,M
1950,29,executive/managerial,M
1953,26,college/grad student,M
1954,27,college/grad student,M
1956,25,scientist,M
1957,33,college/grad student,M
1958,19,K-12 student,M
1961,26,academic/educator,M
1962,24,other or not specified,M
1964,25,academic/educator,M
1965,30,executive/managerial,M
1967,29,self-employed,F
1969,31,customer service,M
1971,26,self-employed,M
1972,34,clerical/admin,M
1973,25,college/grad student,M
1977,28,executive/managerial,M
1979,34,academic/educator,F
1982,28,scientist,M
1984,34,artist,M
1985,32,college/grad student,F
1987,33,technician/engineer,M
1988,32,scientist,M
1990,30,programmer,M
1993,34,college/grad student,M
1994,28,college/grad student,M
1995,26,executive/managerial,M
2001,27,artist,M
2002,28,sales/marketing,M
2007,33,college/grad student,M
2008,26,sales/marketing,F
2009,18,self-employed,M
2010,22,artist,M
2011,26,technician/engineer,M
2012,29,college/grad student,F
2013,26,scientist,M
2014,26,sales/marketing,M
2015,25,K-12 student,M
2019,31,homemaker,F
2020,24,programmer,M
2023,30,customer service,M
2024,29,sales/marketing,M
2026,23,customer service,M
2027,33,scientist,M
2028,26,executive/managerial,M
2029,33,sales/marketing,M
2031,25,self-employed,M
2034,30,sales/marketing,M
2035,27,scientist,M
2037,39,college/grad student,M
2038,26,artist,M
2039,18,other or not specified,M
