userid,movieid,rating
478129,inglourious+basterds+2009,3.0
476268,flirt+1995,4.0
467181,fight+club+1999,4.0
466829,the+shawshank+redemption+1994,4.0
466002,from+russia+with+love+1963,4.0
465489,winnie+the+pooh+2011,4.0
464908,the+gunfighter+2014,4.0
463022,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
462556,the+matrix+1999,3.0
460410,the+princess+bride+1987,4.0
459518,shermans+march+1985,3.0
455417,the+shawshank+redemption+1994,5.0
454613,blade+runner+1982,4.0
453261,seven+samurai+1954,4.0
451818,the+usual+suspects+1995,5.0
450995,fight+club+1999,4.0
450369,the+shawshank+redemption+1994,5.0
446695,calvary+2014,3.0
445065,the+valet+2006,4.0
441359,battle+of+britain+1969,3.0
440121,the+package+2013,4.0
433260,silver+linings+playbook+2012,4.0
428427,beneath+the+valley+of+the+ultra-vixens+1979,2.0
427289,the+matrix+1999,5.0
426258,the+shawshank+redemption+1994,3.0
426078,amlie+2001,4.0
420168,the+godfather+1972,4.0
417370,howls+moving+castle+2004,4.0
414883,reservoir+dogs+1992,4.0
410817,the+treasure+of+the+sierra+madre+1948,4.0
410555,preaching+to+the+perverted+1997,4.0
408835,blade+runner+1982,5.0
405449,the+terminator+1984,4.0
401171,the+shawshank+redemption+1994,4.0
400623,scarface+1983,4.0
400505,the+shawshank+redemption+1994,4.0
397151,mr.++mrs.+smith+2005,4.0
397115,slow+burn+2005,4.0
394377,13+lakes+2004,4.0
394292,fight+club+1999,4.0
391958,soul+surfer+2011,4.0
390951,the+wind+rises+2013,4.0
390574,the+avengers+2012,4.0
388105,kilometre+zero+2005,4.0
385557,the+terminator+1984,4.0
381613,chocolat+2000,3.0
381173,bridge+to+terabithia+2007,4.0
381008,cleaner+2007,3.0
380724,10+things+i+hate+about+you+1999,3.0
380115,the+matrix+1999,5.0
378874,the+matrix+1999,4.0
376264,memories+of+murder+2003,4.0
375373,the+shawshank+redemption+1994,5.0
369970,oceans+eleven+2001,5.0
366482,the+dark+knight+2008,5.0
366447,megamind+2010,4.0
366414,dead+time+2007,3.0
365044,gunner+palace+2004,4.0
364172,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,5.0
363150,marshland+2014,3.0
357577,good+morning+1959,4.0
351705,standing+in+the+shadows+of+motown+2002,4.0
351120,amlie+2001,4.0
350106,the+shawshank+redemption+1994,5.0
342694,shaun+of+the+dead+2004,4.0
339022,the+godfather+1972,5.0
334299,the+shawshank+redemption+1994,4.0
334022,the+good_+the+bad+and+the+ugly+1966,3.0
333542,herr+lehmann+2003,3.0
328338,one+hundred+and+one+dalmatians+1961,3.0
327891,the+perfect+murder+1988,4.0
327132,pans+labyrinth+2006,5.0
326184,the+shawshank+redemption+1994,4.0
325912,the+wild+party+1975,3.0
317099,dark+mirror+2007,3.0
308471,the+shawshank+redemption+1994,5.0
307411,ghost+voyage+2008,5.0
305747,the+matrix+1999,5.0
295694,livid+2011,4.0
292663,the+matrix+1999,4.0
291196,raiders+of+the+lost+ark+1981,5.0
288533,batman+vs+dracula+2005,4.0
284399,saving+private+ryan+1998,5.0
278165,the+music+room+1958,4.0
278070,inglourious+basterds+2009,4.0
271729,it+felt+like+love+2013,5.0
270525,the+shawshank+redemption+1994,5.0
270113,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,5.0
269792,the+matrix+1999,4.0
268923,amlie+2001,3.0
268403,the+great+debaters+2007,4.0
268320,the+shawshank+redemption+1994,4.0
267570,the+godfather+1972,5.0
266880,it+follows+2015,3.0
263445,the+shawshank+redemption+1994,5.0
262267,life+is+beautiful+1997,4.0
254726,dragon+fist+1979,3.0
250334,amlie+2001,4.0
247817,how+to+train+your+dragon+2010,3.0
245124,the+civil+war+1990,4.0
243103,the+lord+of+the+rings+the+return+of+the+king+2003,4.0
238479,toy+story+2+1999,4.0
238348,blade+runner+1982,4.0
238108,lord+jim+1965,4.0
234680,lovers+and+other+strangers+1970,4.0
231336,holiday+in+handcuffs+2007,3.0
227248,the+shawshank+redemption+1994,4.0
226365,seven+samurai+1954,4.0
224767,the+shawshank+redemption+1994,5.0
222378,the+karate+kid_+part+ii+1986,4.0
219878,the+gruffalos+child+2011,2.0
219825,black+robe+1991,4.0
217599,the+goodbye+girl+1977,4.0
214219,carandiru+2003,3.0
213363,meeting+evil+2012,3.0
210421,fight+club+1999,5.0
206746,the+matrix+1999,4.0
203709,the+incredibles+2004,4.0
202924,teenage+mutant+ninja+turtles+2014,3.0
202919,independence+day+1996,3.0
202156,6ixtynin9+1999,3.0
200640,the+shawshank+redemption+1994,5.0
198701,one+flew+over+the+cuckoos+nest+1975,4.0
196121,life+is+beautiful+1997,4.0
191692,the+shawshank+redemption+1994,5.0
190024,the+buccaneer+1958,4.0
189189,my+neighbor+totoro+1988,4.0
188051,the+shawshank+redemption+1994,4.0
181353,the+shawshank+redemption+1994,5.0
180487,cinderella+1950,4.0
180359,happy+people+a+year+in+the+taiga+2010,4.0
177119,the+usual+suspects+1995,4.0
168988,predator+1987,4.0
168277,night+train+to+lisbon+2013,3.0
166692,the+shawshank+redemption+1994,5.0
166172,chicago+1927,3.0
163079,the+shawshank+redemption+1994,5.0
162196,the+shawshank+redemption+1994,5.0
157735,the+princess+bride+1987,4.0
157732,inglourious+basterds+2009,3.0
155367,alice+in+wonderland+2010,3.0
153020,the+matrix+1999,5.0
152778,hotel+rwanda+2004,5.0
149298,the+snowman+1982,4.0
149129,pans+labyrinth+2006,4.0
146910,the+usual+suspects+1995,4.0
144678,the+shawshank+redemption+1994,5.0
142384,walle+2008,4.0
141040,thunderheart+1992,4.0
136095,life+is+beautiful+1997,3.0
134489,the+boys+of+st.+vincent+1992,3.0
128219,mirror+mirror+2012,2.0
127839,anchors+aweigh+1945,4.0
126928,the+longshots+2008,3.0
124271,lions+for+lambs+2007,4.0
121585,predator+1987,4.0
120295,harry+potter+and+the+chamber+of+secrets+2002,4.0
119219,stonehearst+asylum+2014,3.0
117429,close+to+leo+2002,4.0
111575,the+matrix+1999,4.0
104894,fallen+art+2004,5.0
104575,the+unknown+soldier+1955,4.0
103497,mid-august+lunch+2008,3.0
98982,the+saimaa+gesture+1981,3.0
98004,the+shawshank+redemption+1994,4.0
97859,the+shawshank+redemption+1994,5.0
92593,giant+1956,3.0
90379,guinevere+1999,5.0
89107,the+princess+bride+1987,4.0
88760,the+cat+and+the+canary+1927,3.0
86885,youre+a+good+man_+charlie+brown+1985,4.0
66598,blitz+2011,1.0
61012,the+shawshank+redemption+1994,4.0
60243,the+usual+suspects+1995,5.0
59053,bullet+ballet+1998,3.0
57594,harry+potter+and+the+deathly+hallows+part+2+2011,5.0
55198,ever+after+a+cinderella+story+1998,5.0
49610,the+shawshank+redemption+1994,5.0
48497,blade+runner+1982,3.0
44306,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5.0
42418,the+dark+knight+2008,5.0
38183,sleep+dealer+2008,4.0
32141,louis+c.k.+shameless+2007,4.0
31751,camerons+closet+1988,3.0
31063,amlie+2001,4.0
24103,the+shawshank+redemption+1994,5.0
23836,the+scarlet+empress+1934,4.0
23520,from+russia+with+love+1963,3.0
23518,fight+club+1999,4.0
19373,fight+club+1999,5.0
18248,throw+down+2004,3.0
11120,the+matrix+1999,3.0
4422,oliver+twist+1948,4.0
3891,the+english+surgeon+2009,4.0
3297,blade+runner+1982,4.0
1406,the+crush+1967,3.0
